AÑO;CLIENTE;SERVICIO
2017;PETROLEUM CONTRACTOR C.A.;Suministro de aceites (valvulina y Diésel)
2018;R&M CHEMICAL;Suministros de monoethanolamina al 99%
2019;R&M CHEMICAL;Mantenimiento en plantas de aguas industriales
2019;PEQUIVEN S.A.;suministros y sustitución de válvula de gas cloro
2019;PDVSA Termo Electrica;Servicio de arranque planta de tratamiento de aguas industriales
2019;PEQUIVEN S.A.;Suministro de hipoclorito al 12% 
2019;ALIMENTOS MERU C.A.;Suministro de químicos
2020;PDVSA Termo Electrica;Reparación en módulo desinfección química (TK-22).
2020;SUINTER C.A.;Suministro de químicos
2020;BIFURCA C.A.;Acondicionamiento de unidades para recolección de catalizadores
2019;KORVENE C.A.;Suministro de fluidos y servicio para compresores de aires 
2021;PDVSA Petropiar;Suministro de membranas y cartuchos para la unidad 42 de ósmosis 
2021;PDVSA Petropiar;Suministro de Carbón Activado PROCURA
2021 - 2023;INVEGAS S.C.A ;Servicio  en estaciones de regulación de Nitrógeno y tanques de Almacenamiento C.I.J.A.A (JOSE) Petropiar - Petrocedeño - Petromonagas - Petro san felix - Fertinitro - Metor - Supermetanol - Superoctano - Muelle Pequiven
2022;SUPERMETANOL;Mantenimiento mayor de estación de regulación
2022;FEMSA VALENCIA;Mantenimiento mayor sistema de Nitrógeno y CO2
2022;PDVSA PetroCedeño;Mejora y Acondicionamiento tanque 76000 gal de nitrógeno
2022;CLÍNICA LA GUAIRA;Mantenimiento mayor al sistema de suministros de oxígeno
2023;FEMSA BARCELONA;Servicio de mejora en vacío para tanques de CO2 y Nitrógeno
2023;METALMECÁNICA;Desinstalación Y Acondicionamiento de sistema de suministros de oxígeno líquido
2023;METOR S.A;Servicio de izamiento con grúa telescópica en tanques de Almacenamiento de Nitrogeno liquido
2023;METOR S.A;Servicio facilidades y mantenimiento Para Instalación provisional de sistema de almacenamiento de Nitrógeno líquido.
2023;METOR S.A;Servicio Instalación y desinstalación de Tanques Criogénicos dentro del complejo petroquímico.
2023;FEMSA BARCELONA;Suministro e instalaciones de válvulas de seguridad 
2023;FEMSA BARCELONA;Servicio y acondicionamiento de sistemas de distribución de Nitrógeno gaseoso.
2023;FEMSA BARCELONA;Mantenimiento de Tanques de Almacenamiento para líquidos Criogénicos.
2023;INTEGRA Maturín;Suministros, Mantenimiento  y Calibración de instrumentación y válvulas criogénicas 
2024;PDVSA REFINERIA PUERTO LA CRUZ;Servicio de Asistencia y Asesoría Técnica para la Unidad 94 Planta separadora de Gases (Nitrógeno)
2024;INTEGRA MATURÍN ;Servicio de inspección y medición de tanques Criogénicos
2024;PETROALIANZA - EL TIGRE;Servicio de inspección y medición de tanques Criogénicos
2024;INTEGRA MATURÍN;Suministro e Instalación de Válvulas de Seguridad para ISOTANQUE de Nitrógeno Liquido.
;;
2024;PETROPIAR;Suministros y Asesoria de Químicos especializados a la empresa COVSA para el Mantenimiento Mayor de los Desaladores en complejo mejorador.
2025;INTEGRA MATURÍN ;Servicio de Mantenimiento a sistemas de almacenamiento de Nitrógeno Liquido.
2025;PETROALIANZA - EL TIGRE;Servicio de Mantenimiento a sistemas de almacenamiento de Nitrógeno Liquido
2025;YANLU C.A;Suministro de Aceites Especializados para plantas y sistemas  en pozos petrolero y gasifero.
;;
;;
2025;LONGKEDA C.A;Mantenimiento de sistemas de inyección para pozos y tanques de almacenamiento de nitrógeno liquido
2026;PDVSA  Petróleo S.A;Suministro e Instalación de sistema para tratar agua cruda y Unidad de destilación en laboratorio de la Nucleoteca el Chaure.
2026;PETROALIANZA Occidente;Servicio de Mantenimiento a sistemas de almacenamiento de Nitrógeno Liquido en Gabarra de coiled tubing
;;
;;
;;
;;
;;
;;
;;
